Word,Sound,Block.Type,phon_ctxt_stress,onset_has_nasal,onset_has_lateral,onset_has_rhotic,coda_has_nasal,coda_has_lateral,coda_has_rhotic,coda_has_fricative,has_long_vowel,syllable,burst,closure,vowel,Item.Word,Item.WordID,Item.MinimalPair,word_duration,syllable_duration,syllable_id
alongside,/d/,exposure,yes,no,no,no,no,no,no,no,yes,3,0.06,0.053,0.205,alongside,NA,NA,0.757,0.405,side
apprehend,/d/,exposure,yes,no,no,no,yes,no,no,no,no,3,0.08,0.115,0.155,apprehend,NA,NA,0.792,0.418,hend
coincide,/d/,exposure,yes,no,no,no,no,no,no,no,yes,3,0.097,0.02,0.208,coincide,NA,NA,0.75,0.397,cide
command,/d/,exposure,yes,yes,no,no,yes,no,no,no,no,2,0.079,0.119,0.193,command,NA,NA,0.534,0.34,mand
comprehend,/d/,exposure,yes,no,no,no,yes,no,no,no,no,3,0.084,0.1,0.151,comprehend,NA,NA,0.728,0.36,hend
concerned,/d/,exposure,yes,no,no,no,yes,no,no,no,no,2,0.08,0.06,0.2,concerned,NA,NA,0.61,0.434,cerned
correspond,/d/,exposure,yes,no,no,no,yes,no,no,no,no,3,0.056,0.062,0.212,correspond,NA,NA,0.803,0.344,pond
emerald,/d/,exposure,no,no,no,yes,no,yes,no,no,no,3,0.063,0.055,0.17,emerald,NA,NA,0.613,0.331,rald
episode,/d/,exposure,yes,no,no,no,no,no,no,no,yes,3,0.082,0.027,0.156,episode,NA,NA,0.635,0.337,sode
haphazard,/d/,exposure,no,no,no,no,no,no,no,no,no,3,0.045,0.031,0.183,haphazard,NA,NA,0.819,0.285,zard
household,/d/,exposure,no,no,no,no,no,yes,no,no,yes,2,0.065,0.034,0.201,household,NA,NA,0.654,0.299,hold
invalid,/d/,exposure,no,no,yes,no,no,no,no,no,no,3,0.033,0.061,0.138,invalid,NA,NA,0.695,0.257,lid
lemonade,/d/,exposure,yes,yes,no,no,no,no,no,no,no,3,0.052,0.051,0.192,lemonade,NA,NA,0.648,0.38,nade
likelihood,/d/,exposure,no,no,no,no,no,no,no,no,no,3,0.08,0.054,0.184,likelihood,NA,NA,0.87,0.393,hood
marinade,/d/,exposure,yes,yes,no,no,no,no,no,no,no,3,0.071,0.047,0.196,marinade,NA,NA,0.629,0.355,nade
overhead,/d/,exposure,yes,no,no,no,no,no,no,no,no,3,0.073,0.031,0.179,overhead,NA,NA,0.754,0.375,head
overload,/d/,exposure,yes,no,yes,no,no,no,no,no,yes,3,0.075,0.026,0.229,overload,NA,NA,0.674,0.342,load
preconceived,/d/,exposure,yes,no,no,no,no,no,no,yes,no,3,0.099,0.097,0.165,preconceived,NA,NA,0.919,0.465,ceived
profound,/d/,exposure,yes,no,no,no,yes,no,no,no,yes,2,0.063,0.095,0.187,profound,NA,NA,0.637,0.423,found
pyramid,/d/,exposure,yes,yes,no,no,no,no,no,no,no,3,0.065,0.06,0.11,pyramid,NA,NA,0.622,0.317,mid
qualified,/d/,exposure,yes,no,no,no,no,no,no,no,yes,3,0.075,0.033,0.204,qualified,NA,NA,0.729,0.405,fied
railroad,/d/,exposure,yes,no,no,yes,no,no,no,no,yes,2,0.066,0.031,0.121,railroad,NA,NA,0.702,0.289,road
recommend,/d/,exposure,yes,yes,no,no,yes,no,no,no,no,3,0.095,0.095,0.161,recommend,NA,NA,0.688,0.419,mend
reserved,/d/,exposure,yes,no,no,no,no,no,no,yes,no,2,0.046,0.131,0.218,reserved,NA,NA,0.684,0.477,served
reverend,/d/,exposure,no,no,no,yes,yes,no,no,no,no,3,0.08,0.12,0.073,reverend,NA,NA,0.712,0.351,rend
riverside,/d/,exposure,no,no,no,no,no,no,no,no,yes,3,0.085,0.016,0.203,riverside,NA,NA,0.699,0.388,side
unemployed,/d/,exposure,yes,no,yes,no,no,no,no,no,yes,3,0.077,0.039,0.232,unemployed,NA,NA,0.778,0.426,ployed
unmarried,/d/,exposure,no,no,no,yes,no,no,no,no,no,3,0.057,0.044,0.116,unmarried,NA,NA,0.651,0.268,ried
unparalleled,/d/,exposure,no,no,yes,no,no,yes,no,no,no,4,0.058,0.052,0.187,unparalleled,NA,NA,0.87,0.335,lleled
unprepared,/d/,exposure,yes,no,no,no,no,no,yes,no,no,3,0.067,0.052,0.213,unprepared,NA,NA,0.92,0.443,pared
